rera_no,project_name,promoter,location,district,pincode,state,last_modified,source
P53000003571,Shalini Vilas Terraces,SHRI SAGAR BUILDERS AND DEVELOPERS,Karvir,Kolhapur,416008,MAHARASHTRA,2017-08-05,maharera
P51900005890,SANTOSH BUILDING,CONCRETE LIFESTYLES & INFRASTRUCTURE PRIVATE LIMITED,Ward GNorth,Mumbai City,400028,MAHARASHTRA,2021-09-09,maharera
P99000003885,"RG-A,B,E,F",RELIABLE REALTOUCH,Vasai,Palghar,401208,MAHARASHTRA,2021-12-03,maharera
P52100005703,CLOVER HIGHLANDS,Clover Developers Pvt Ltd,Haveli,Pune,411048,MAHARASHTRA,2017-08-11,maharera
P99000003657,"RG-C,D",RELIABLE REALTOUCH,Vasai,Palghar,401208,MAHARASHTRA,2022-07-20,maharera
P51800000706,SIDDHI GARIMA,NHA INFRAPROJECTS PRIVATE LIMITED,Kurla,Mumbai Suburban,400074,MAHARASHTRA,2025-06-02,maharera
P52100006261,OMEGA COMMERCIAL COMPLEX - SOHAM ICON,Soham Developers,Haveli,Pune,411057,MAHARASHTRA,2022-12-27,maharera
P52100001796,MANTRA ESSENCE PHASE 1,MANTRA GREENS PRIVATE LIMITED,Haveli,Pune,411028,MAHARASHTRA,2017-07-29,maharera
P51900005225,Earth Classic,EarthClassic,Mumbai City,Mumbai City,400019,MAHARASHTRA,2017-08-11,maharera
P52800001128,SUNRISE RESIDENCY WING I J AND K1 K2,GURUKRUPA ENTERPRISES,Ratnagiri,Ratnagiri,415612,MAHARASHTRA,2017-07-26,maharera
P52100005522,GODS COUNTY C WING,GANESHCONSTRUCTION,Khed,Pune,412105,MAHARASHTRA,2026-04-18,maharera
P52100003596,DISHA PARADISE,JAY GANESH EMPIRE,Shirur,Pune,412210,MAHARASHTRA,2017-08-05,maharera
P52800001620,Swarupa Residency,M/s Pavanand JH construction co,Ratnagiri,Ratnagiri,415639,MAHARASHTRA,2017-07-29,maharera
P51700001458,VIHANGS VERMONT,VIHANG ENTERPRISES,Thane,Thane,400615,MAHARASHTRA,2017-07-28,maharera
P52800001942,ARIJEET RESIDENCY,RAHUL BUILDERS AND DEVELOPERS,Ratnagiri,Ratnagiri,415639,MAHARASHTRA,2017-07-29,maharera
P52100001226,Parin Empire,Gote Bhilare Associates,Haveli,Pune,411041,MAHARASHTRA,2017-07-27,maharera
P52800001535,AVISHKAR HEIGHTS - B WING - PHASE I,AVISHKAR DEVELOPERS,Dapoli,Ratnagiri,415712,MAHARASHTRA,2017-07-28,maharera
P52800002837,AVISHKAR HEIGHTS - A WING - PHASE II,AVISHKAR DEVELOPERS,Dapoli,Ratnagiri,415712,MAHARASHTRA,2017-08-04,maharera
P52100010223,Shobha Chambers,Rajesh Nandlal Peswani,Haveli,Pune,411005,MAHARASHTRA,2017-08-24,maharera
P52800001154,AVISHKAR HEIGHTS - C WING - PHASE III,AVISHKAR DEVELOPERS,Dapoli,Ratnagiri,415712,MAHARASHTRA,2017-07-26,maharera
P52100001909,KINGSTONE AVENUE PH 1,Supreme Developers,Haveli,Pune,411027,MAHARASHTRA,2019-01-04,maharera
P53000001698,Korgaonkar Park,ASHISH ANIL KORGAONKAR,Gadhinglaj,Kolhapur,416502,MAHARASHTRA,2017-07-29,maharera
P51800000817,Bajaj Enchante - Panchsheel CHSL,BAJAJ INTERNATIONAL REALTY PRIVATE LIMITED,Andheri,Mumbai Suburban,400099,MAHARASHTRA,2018-01-23,maharera
P52100002795,MANTRA 7 HILLS PHASE I,MANTRA BUILDCRAFTS PRIVATE LIMITED,Haveli,Pune,411024,MAHARASHTRA,2021-10-15,maharera
P52100001157,MANTRA ESSENCE PHASE 2,MANTRA GREENS PRIVATE LIMITED,Haveli,Pune,411028,MAHARASHTRA,2017-07-26,maharera
P52100001322,MANTRA 7 HILLS PHASE II,MANTRA BUILDCRAFTS PRIVATE LIMITED,Haveli,Pune,411024,MAHARASHTRA,2021-11-24,maharera
P51700000450,SAI SHRUSHTI HEIGHTS-B4,SAI SHRUSHTI ENTERPRISES,Thane,Thane,400612,MAHARASHTRA,2017-07-18,maharera
P52100001182,MANTRA 7 HILLS PHASE III,MANTRA BUILDCRAFTS PRIVATE LIMITED,Haveli,Pune,411024,MAHARASHTRA,2022-11-21,maharera
P52100001757,MANTRA 7 HILLS PHASE IV,MANTRA BUILDCRAFTS PRIVATE LIMITED,Haveli,Pune,411024,MAHARASHTRA,2022-12-22,maharera
P51900011167,Building no 4 on portion of CTS no 442 part 444 part 447 part and 625 part,EAST AND WEST BUILDERS,Mumbai City,Mumbai City,400015,MAHARASHTRA,2017-08-31,maharera
P51700011204,Shree Ganesh Residency,Amol Padmakar Tarmale,Shahapur,Thane,421301,MAHARASHTRA,2017-08-31,maharera
P52100002884,GANGA TRUENO TOWER B,KAPPA REALTORS LLP,Haveli,Pune,411047,MAHARASHTRA,2022-12-07,maharera
P52100005662,River edge,S K ASSOCIATES,Shirur,Pune,412210,MAHARASHTRA,2017-08-11,maharera
P51700002317,Anthurium,AARTI ESTATES,Thane,Thane,400615,MAHARASHTRA,2021-12-30,maharera
P51800002243,SHREYA,BHARAT NAVINCHANDRA GALA,Borivali,Mumbai Suburban,400064,MAHARASHTRA,2025-10-24,maharera
P52100001491,OLYMPIA,Achalare Realtors Private Limited,Haveli,Pune,411045,MAHARASHTRA,2018-09-17,maharera
