building,location,bhk,sqft,furnishing,price,listed_date,source
Monte South,Byculla,3 BHK,1348 sqft,Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Kalpataru Habitat,Parel,4 BHK,2100 sqft,Semi-Furnished,₹11.25 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Lodha Parkside,—,2 BHK,894 sqft,Semi-Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Minerva,Mahalaxmi,3 BHK,1300 sqft,Semi-Furnished,₹4 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Water Queen,Bandra West,2 BHK,1525 sqft,Furnished,₹1 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Lodha Signet,Lower Parel,,447 sqft,Unfurnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Lokhandwala Minerva,Mahalaxmi,3.5 BHK,2100 sqft,Furnished,₹6 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Lodha Primero,Mahalaxmi,2 BHK,900 sqft,Semi-Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Orchid Towers,Worli,,2900 sqft,Semi-Furnished,₹6 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Sumer Trinity,Prabhadevi,4 BHK,1900 sqft,Semi-Furnished,₹5 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Lodha Park,—,2 BHK,893 sqft,Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Pinnacle Heights,Kalachowki,1.5 BHK,450 sqft,Semi-Furnished,₹58000,Listed 19 Jun 2026 · 10:58 AM,propi_in
Park View,Walkeshwar,2 BHK,1000 sqft,Semi-Furnished,₹3 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Lotus Enpar,Lower Parel,2 BHK,1000 sqft,Furnished,₹3 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Arista,Bandra East,2 BHK,664 sqft,Furnished,₹2.80 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Rustomjee Crown,Prabhadevi,3 BHK,1335 sqft,Unfurnished,₹9.50 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Lodha Aura,—,3 BHK,1116 sqft,Semi-Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Lodha Signet,Lower Parel,,3167 sqft,Semi-Furnished,₹42.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
World Towers,—,3 BHK,1710 sqft,Furnished,₹12.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Lodha Marquise,Worli,,1525 sqft,Semi-Furnished,₹4 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Rustomjee Crown,Prabhadevi,3 BHK,1343 sqft,Semi-Furnished,₹6 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Omkar 1973,Worli,3 BHK,1800 sqft,Semi-Furnished,₹4 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Rustomjee Crown,Prabhadevi,,2550 sqft,Furnished,₹7 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Phoenix Towers,Lower Parel,3 BHK,1100 sqft,Semi-Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Silver Metropolis,Goregaon East,,11400 sqft,Furnished,₹20 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Raheja Heights,Goregaon East,2 BHK,650 sqft,Semi Furnished,₹55000,Listed 19 Jun 2026 · 10:58 AM,propi_in
Geetanjali Chs,Malad East,1 BHK,425 sqft,Unfurnished,₹1.25 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Lemont,Malad East,1 BHK,400 sqft,Semi-Furnished,₹1.20 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Sheetal Tapovan,Malad East,3 BHK,746 sqft,Semi-Furnished,₹2.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Lemont,Malad East,2 BHK,680 sqft,Semi-Furnished,₹55000,Listed 19 Jun 2026 · 10:58 AM,propi_in
Kanakia Silicon Valley,Powai,2 BHK,730 sqft,Semi Furnished,₹3.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Auris Serenity,Malad West,,1610 sqft,Furnished,₹7.50 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Jeevandeep,Kandivali West,3 BHK,1000 sqft,Unfurnished,₹3.35 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Kalpavruksh Gardens,Kandivali West,1 BHK,450 sqft,Semi-Furnished,₹1.35 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Satyam Tower,Kandivali East,2 BHK,743 sqft,Furnished,₹2.45 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Ruparel Sky Green,Kandivali West,2 BHK,619 sqft,Semi-Furnished,₹1.65 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
19th North,Kandivali West,2 BHK,650 sqft,Semi-Furnished,₹65000,Listed 19 Jun 2026 · 10:58 AM,propi_in
Mansarovar,Kandivali West,1 BHK,470 sqft,Unfurnished,₹1.40 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Sahil Apartment,Kandivali West,2 BHK,780 sqft,Semi-Furnished,₹2.55 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Blue Empire Complex,Kandivali West,1 BHK,425 sqft,Furnished,₹1.15 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Ananda Residency,Borivali West,2 BHK,715 sqft,Furnished,₹2.40 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Arcade Bhoomi,Kandivali West,2 BHK,700 sqft,Semi-Furnished,₹1.85 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Lodha Raj Infinia,Malad West,4 BHK,1600 sqft,Semi Furnished,₹1 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Lodha Raj Infinia,Malad West,2 BHK,740 sqft,Semi-Furnished,₹75000,Listed 19 Jun 2026 · 10:58 AM,propi_in
Oberoi Splendor,Andheri East,2.5 BHK,987 sqft,Semi-Furnished,₹13.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Gaurav Garden,Kandivali West,2 BHK,680 sqft,Furnished,₹55000,Listed 19 Jun 2026 · 10:58 AM,propi_in
Shiv Shrushti,Kandivali West,3 BHK,1000 sqft,Fully Furnished,₹4.50 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Kanakia Silicon Valley,Powai,2 BHK,730 sqft,Semi-Furnished,₹2.95 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Bhoomi Garden,Kandivali West,1 BHK,425 sqft,Furnished,₹1.40 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Breezy Corner,Kandivali West,2 BHK,700 sqft,Furnished,₹2.10 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Kalpatru Vienta,Kandivali East,3 BHK,1150 sqft,Semi-Furnished,₹1 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Panchsheel Garden,Kandivali West,2 BHK,750 sqft,Furnished,₹2.80 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Kalpataru Tower,Kandivali East,2.5 BHK,846 sqft,Furnished,₹3.25 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Express Tower,Borivali West,3 BHK,1020 sqft,Semi-Furnished,₹3.60 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
19 North,Kandivali West,1 BHK,327 sqft,Semi-Furnished,₹90 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Mantri Sujata,Bandra,2.5 BHK,650 sqft,Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Rachana CHS,BKC,2 BHK,650 sqft,Semi-Furnished,₹80000,Listed 19 Jun 2026 · 10:58 AM,propi_in
Dakshin Pali,Bandra,4 BHK,1600 sqft,Furnished,₹4 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Celestia Spaces,Sewree,3 BHK,1270 sqft,Semi-Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Omkar Vive,Bandra Kurla Complex,1.5 BHK,550 sqft,Semi-Furnished,₹80000,Listed 19 Jun 2026 · 10:58 AM,propi_in
Dosti Eastern Bay,Wadala,3 BHK,1040 sqft,Semi-Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
L&T Crescent Bay,Parel,2 BHK,800 sqft,Semi-Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Lodha Vista,Lower Parel,2 BHK,712 sqft,Semi-Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
L&T Crescent Bay,—,3 BHK,1800 sqft,Semi-Furnished,₹3 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Salsette 27,Byculla,3 BHK,1199 sqft,Semi-Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Omkar Vive,Kurla,1 BHK,380 sqft,Furnished,₹95000,Listed 19 Jun 2026 · 10:58 AM,propi_in
Rustomjee Cleon,Bandra East,1.5 BHK,550 sqft,Semi-Furnished,₹90000,Listed 19 Jun 2026 · 10:58 AM,propi_in
Rustomjee Cleon,Bandra East,2 BHK,540 sqft,Semi Furnished,₹1 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
H&M Tower,Bandra West,3.5 BHK,2880 sqft,Furnished,₹6 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Runwal Nirvana,Parel,2 BHK,750 sqft,Semi-Furnished,₹1 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Dosti Eastern Bay,Wadala,2 BHK,750 sqft,Semi-Furnished,₹1 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Rustomjee Seasons,BKC,3.5 BHK,1300 sqft,Semi-Furnished,₹4 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Lokhandwala Minerva,Mahalaxmi,4 BHK,2136 sqft,Semi-Furnished,₹5 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Jagat Vidya,BKC,3 BHK,1000 sqft,Semi-Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Lodha Allura,Lower Parel,2 BHK,800 sqft,Semi-Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Monte South,Byculla,2 BHK,900 sqft,Semi-Furnished,₹1 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Lodha Venezia,Parel,3 BHK,1172 sqft,Semi-Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Omkar Meridia,Bandra Kurla Complex,2 BHK,777 sqft,Unfurnished,₹85000,Listed 19 Jun 2026 · 10:58 AM,propi_in
Prestige Turf Tower,Mahalaxmi,,7145 sqft,Semi-Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Antalya,Belapur,2 BHK,548 sqft,Semi-Furnished,₹55000,Listed 19 Jun 2026 · 10:58 AM,propi_in
Golden Jubile,Jogeshwari,3 BHK,1020 sqft,Semi-Furnished,₹2.75 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Akruti Erica,Vile Parle East,3 BHK,1100 sqft,Furnished,₹4.75 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Silver Sand,Andheri West,2 BHK,675 sqft,Semi Furnished,₹3.50 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
AH Heights,—,2 BHK,905 sqft,Semi-Furnished,₹2.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Supreme 19,—,2 BHK,640 sqft,Furnished,₹3.10 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Lodha Belair,—,2 BHK,780 sqft,Semi-Furnished,₹2.80 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Universal Garden 1,—,2 BHK,740 sqft,Unfurnished,₹2.20 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
215 Atrium,Andheri East,,923 sqft,Furnished,₹3 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Bajsons Industrial Estate,Andheri East,,545 sqft,Semi-Furnished,₹1.80 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Maple Tower,—,3 BHK,1092 sqft,Semi-Furnished,₹3.75 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Pinnacle Business Park,Andheri East,,2750 sqft,Semi-Furnished,₹7 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Oberoi Garden,Andheri East,,3900 sqft,Furnished,₹6 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Xtrium,Andheri East,,3229 sqft,Furnished,₹9 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
The Lumiere,Andheri,3 BHK,1118 sqft,Semi-Furnished,₹3.35 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Desai Oceanic,—,3 BHK,4000 sqft,Semi-Furnished,₹28.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Minerva,Mahalaxmi,3 BHK,1200 sqft,Semi-Furnished,₹7.75 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
RNA Miraj,Worli,3 BHK,3200 sqft,Semi-Furnished,₹23.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Hicon Classes,Bandra,3 BHK,3000 sqft,Semi-Furnished,₹17.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
81-Aureate,—,3 BHK,4200 sqft,Furnished,₹22.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Tapovan,Santacruz West,3 BHK,3810 sqft,Semi-Furnished,₹20.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Runwal Elegante,Andheri West,3 BHK,1006 sqft,Semi-Furnished,₹5.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Azumi,Khar,3 BHK,1800 sqft,Semi-Furnished,₹13.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Park Reach,—,3 BHK,1250 sqft,Semi-Furnished,₹10.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
DLH Signature,Bandra,3 BHK,1265 sqft,Semi-Furnished,₹7.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Chandak Nischay,Borivali East,1 BHK,342 sqft,Semi-Furnished,₹1.84 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Neelamber Apt,Bandra West,2 BHK,700 sqft,Semi-Furnished,₹1 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Divyam Heights,Andheri West,2 BHK,1090 sqft,Semi-Furnished,₹2.20 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Suyog Darshan,Andheri West,2 BHK,650 sqft,Furnished,₹80000,Listed 19 Jun 2026 · 10:58 AM,propi_in
Madhuban Tower,Andheri West,2 BHK,860 sqft,Semi-Furnished,₹65000,Listed 19 Jun 2026 · 10:58 AM,propi_in
Dheeraj Sapna,Bandra West,2 BHK,750 sqft,Unfurnished,₹1 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Hill View Bldg,Bandra West,1 BHK,375 sqft,Semi-Furnished,₹1.55 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Dhanlaxmi,—,3 BHK,1200 sqft,Semi-Furnished,₹3.75 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Divine Heights,—,1 BHK,466 sqft,Furnished,₹80000,Listed 19 Jun 2026 · 10:58 AM,propi_in
Manish Tower,Andheri West,2 BHK,,Semi-Furnished,₹80000,Listed 19 Jun 2026 · 10:58 AM,propi_in
UK Sangfroid,Andheri West,2 BHK,720 sqft,Semi Furnished,₹2.50 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Adani Western Heights,Andheri West,3 BHK,1200 sqft,Furnished,₹5.85 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Rustomjee Paramount,Khar West,3 BHK,1350 sqft,Semi-Furnished,₹10.50 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Rustomjee Paramount,Khar West,3 BHK,1356 sqft,Semi-Furnished,₹11.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Joy Legend,—,3 BHK,1519 sqft,Semi-Furnished,₹9.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Rustomjee Season,Bandra East,3 BHK,1040 sqft,Semi-Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
RNA Auroville,Santacruz West,4 BHK,3300 sqft,Semi-Furnished,₹11.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Two Roses,Bandra West,4 BHK,1500 sqft,Semi-Furnished,₹11.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Jade Garden,Khar West,,,Semi-Furnished,₹1 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Acme Plaza,Andheri East,,830 sqft,Furnished,₹3.50 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Silver Rock,Bandra West,3 BHK,1300 sqft,Semi-Furnished,₹3 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Solitaire,Khar,2 BHK,632 sqft,Semi-Furnished,₹3.30 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Mohini Castle,Bandra West,3 BHK,1700 sqft,Furnished,₹9.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Shams Palace,Bandra West,3.5 BHK,1300 sqft,Furnished,₹6.50 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Grace Heritage,Bandra West,3 BHK,1000 sqft,Semi-Furnished,₹6.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Bright Land,Bandra West,2 BHK,725 sqft,Semi-Furnished,₹5.45 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Arvasu,Santacruz West,2 BHK,750 sqft,Semi-Furnished,₹3.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Rocky Hill,Bandra West,3 BHK,1100 sqft,Semi-Furnished,₹6.10 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Dheeraj Devika,Bandra West,3 BHK,1300 sqft,Semi-Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Sadguru Drishti,Khar West,3 BHK,1400 sqft,Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Cenced,Bandra West,3 BHK,1750 sqft,Furnished,₹3 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Sandhu Palace,Bandra West,6 BHK,10000 sqft,Semi Furnished,₹130.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Matai Mansion,Bandra,2 BHK,750 sqft,Semi-Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Rustomjee Paramount,Khar West,3 BHK,1400 sqft,Semi-Furnished,₹10.50 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
The Primordial House,Grant road,2 BHK,650 sqft,Semi-Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Cosmos,Santacruz West,2 BHK,1000 sqft,Semi-Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Bhagwanti Heights,Khar West,4 BHK,2000 sqft,Semi Furnished,₹3 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Continental Tower,Bandra,3 BHK,1550 sqft,Furnished,₹4 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Belfer Apt,Bandra West,4 BHK,1532 sqft,Semi Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Shree Shakti,Khar,3 BHK,1200 sqft,Semi-Furnished,₹3 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Joy Legend,Khar West,3 BHK,1519 sqft,Furnished,₹4 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Kedarnath,Khar West,2 BHK,820 sqft,Semi-Furnished,₹3.75 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
June Blossom,Bandra West,3 BHK,1300 sqft,Semi-Furnished,₹3 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Rustomjee Seasons,Bandra East,3.5 BHK,1371 sqft,Semi-Furnished,₹4 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Makhija Arcade,Bandra,,500 sqft,Furnished,₹3.25 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Notan Chambers,Bandra West,,2050 sqft,Unfurnished,₹9 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Emerald Isle,Powai,1 BHK,490 sqft,Semi-Furnished,₹1.60 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Auris Serenity,Malad,2 BHK,806 sqft,Semi-Furnished,₹3.10 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Le Reve,Bandra,3 BHK,1116 sqft,Semi-Furnished,₹7.25 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Joy Legend,Khar West,4 BHK,1962 sqft,Semi-Furnished,₹5 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Joy Palace,Bandra West,2 BHK,700 sqft,Semi-Furnished,₹10.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Manchester Heights,Khar West,2 BHK,640 sqft,Fully Furnished,₹4.15 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Continental,Bandra West,3 BHK,1500 sqft,Semi-Furnished,₹3 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Gurudev Bhavan,Bandra West,4 BHK,2400 sqft,Semi-Furnished,₹5 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Badrinath,Khar West,2 BHK,800 sqft,Semi-Furnished,₹6.25 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Azumi,Khar,4 BHK,1788 sqft,Semi-Furnished,₹13.50 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Supreme Headquarters,Bandra West,,607 sqft,Furnished,₹6.25 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Narang Mantion,Bandra West,2 BHK,800 sqft,Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Rustomjee Parishram,Bandra West,3 BHK,1564 sqft,Semi-Furnished,₹17.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Shalaka,Santacruz,,725 sqft,Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Neera,Khar West,3 BHK,1400 sqft,Fully Furnished,₹6.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Madhur Milan,Khar West,3 BHK,1350 sqft,Semi-Furnished,₹12.50 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Vasant Kunj,Santacruz West,3 BHK,1250 sqft,Semi-Furnished,₹8.50 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Dreamland,Khar West,1 BHK,,Furnished,₹1 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Dheeraj Devika,Bandra West,3 BHK,1400 sqft,Semi-Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Sumukh,Bandra,2 BHK,790 sqft,Semi-Furnished,₹3.75 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Cannon Bldg,Bandra West,4 BHK,2499 sqft,Furnished,₹15.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Kedarnath apt,Khar,3 BHK,1100 sqft,Semi-Furnished,₹4.50 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Little Hut,Bandra,,1200 sqft,Semi-Furnished,₹4 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Chitra,—,3 BHK,2000 sqft,Semi-Furnished,₹6 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Rama Krishna,Khar West,2 BHK,900 sqft,Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Chitra,Santacruz West,3 BHK,2000 sqft,Semi Furnished,₹6 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Dunhill,Khar West,3 BHK,872 sqft,Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Sainara,Santacruz West,,1400 sqft,Semi-Furnished,₹4 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
DLH Dawn,Santacruz West,5 BHK,2850 sqft,Semi-Furnished,₹6 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Rustomjee Paramount,—,3 BHK,1300 sqft,Semi-Furnished,₹3 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Marble Arch,Bandra West,3 BHK,,Semi-Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Rustomjee Paramount,Khar West,3 BHK,1285 sqft,Semi Furnished,₹10.50 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Govind Kutir,Khar West,2 BHK,630 sqft,Semi-Furnished,₹4.15 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Prakash Building,Santacruz West,2 BHK,630 sqft,Semi-Furnished,₹2.80 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Maheshwar Shikhar,Santacruz West,3 BHK,1215 sqft,Semi-Furnished,₹7.75 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
One BKC,Bandra Kurla Complex,,1070 sqft,Furnished,₹6 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Pali Hill Niketan,Bandra West,2 BHK,750 sqft,Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Kanti Apartment,—,2 BHK,775 sqft,Semi-Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Shangrila Apt,Bandra West,2 BHK,750 sqft,Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Woodstock Garden,Santacruz West,3 BHK,1100 sqft,Semi-Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Devansh Villa,Bandra West,2 BHK,800 sqft,Semi-Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Ladhani Legacy,Bandra West,3 BHK,1300 sqft,Semi-Furnished,₹3 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Eternity,Bandra West,2 BHK,1100 sqft,Semi-Furnished,₹2 L,Listed 19 Jun 2026 · 10:58 AM,propi_in
Mohini Castle,Khar West,1 BHK,450 sqft,Furnished,₹80000,Listed 19 Jun 2026 · 10:58 AM,propi_in
Govind Kutir,Khar,2 BHK,760 sqft,Semi-Furnished,₹4.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Ostwal Tower,Borivali West,3 BHK,998 sqft,Semi-Furnished,₹3.50 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Samartha Siddhi,Andheri West,3.5 BHK,1304 sqft,Semi-Furnished,₹6.60 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Indradarshan,Andheri West,3.5 BHK,1380 sqft,Semi-Furnished,₹6.35 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Rustomjee Paramount,Khar West,3 BHK,1350 sqft,Semi-Furnished,₹10.60 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
New Mhada,Andheri West,2 BHK,700 sqft,Furnished,₹2.60 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Sterling Apartment,Andheri West,2 BHK,750 sqft,Furnished,₹95000,Listed 19 Jun 2026 · 10:58 AM,propi_in
Ashirwad Apartment,Andheri West,3 BHK,1291 sqft,Semi-Furnished,₹4.00 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
Raheja Classique,Andheri West,3 BHK,1500 sqft,Semi-Furnished,₹7.80 Cr,Listed 19 Jun 2026 · 10:58 AM,propi_in
