building_id,landmark_id,distance_m,walking_min,building_name,landmark_name
1961,LM-050,187,2,Sunteck 4th Avenue,Goregaon Station
1962,LM-050,187,2,Sunteck City,Goregaon Station
1963,LM-050,187,2,Sunteck Pinnacle,Goregaon Station
1964,LM-050,187,2,Techniplex I,Goregaon Station
1965,LM-050,187,2,Lion Park,Goregaon Station
1966,LM-050,187,2,Luxor,Goregaon Station
1967,LM-050,187,2,Udaka Heights,Goregaon Station
1968,LM-050,187,2,Udyog Bhavan,Goregaon Station
1969,LM-050,187,2,Unnat Nagar Akshay CHS,Goregaon Station
1970,LM-050,187,2,VIra One,Goregaon Station
1971,LM-050,187,2,Vaibhav,Goregaon Station
1972,LM-050,187,2,Vasant Galaxy,Goregaon Station
1973,LM-050,187,2,Vedant,Goregaon Station
1974,LM-050,187,2,Vivan,Goregaon Station
1975,LM-050,187,2,Vogue 77,Goregaon Station
1976,LM-050,187,2,Washington Plaza,Goregaon Station
2955,LM-021,210,3,Churchgate Chambers,Marine Drive
2956,LM-021,210,3,Dalamal Chambers,Marine Drive
2957,LM-021,210,3,Engineer,Marine Drive
2958,LM-021,210,3,Jolly Bhavan No. 2,Marine Drive
2959,LM-021,210,3,Marine Palace,Marine Drive
2960,LM-021,210,3,One Marina,Marine Drive
2961,LM-021,210,3,Pearl mansion,Marine Drive
2962,LM-021,210,3,Pil Court,Marine Drive
2963,LM-021,210,3,Prestige Ocean,Marine Drive
2964,LM-021,210,3,Rewa Chambers,Marine Drive
2965,LM-021,210,3,Standard House,Marine Drive
873,LM-010,265,3,12 Pegasus,Bandra Kurla Complex
874,LM-010,265,3,Address 51,Bandra Kurla Complex
875,LM-010,265,3,Agami Eternity,Bandra Kurla Complex
876,LM-010,265,3,Agami Legend,Bandra Kurla Complex
877,LM-010,265,3,Antariksh,Bandra Kurla Complex
878,LM-010,265,3,Antariksh Ace,Bandra Kurla Complex
879,LM-010,265,3,Arista,Bandra Kurla Complex
880,LM-010,265,3,Arista Prime,Bandra Kurla Complex
881,LM-010,265,3,Azzure,Bandra Kurla Complex
882,LM-010,265,3,BKC 28,Bandra Kurla Complex
883,LM-010,265,3,Bandra North,Bandra Kurla Complex
884,LM-010,265,3,Buena Vista,Bandra Kurla Complex
885,LM-010,265,3,Fifty One East,Bandra Kurla Complex
886,LM-010,265,3,Geetanjali Apartment,Bandra Kurla Complex
