building_id,canonical_name,alias
2576,Designate,The Designate
2577,Solaris,The Solaris
2591,Videocon Icon Apartment,Videocon Icon Apt
2596,Viraj Bliss,Viraj-Bliss
2608,Zindagi,Zindagi CHS
2620,Riddhi Siddhi,Riddhi Siddhi Apartment
2645,Lake Florence,Lake Florence
2652,Meghdoot,Meghdoot Apartment
2663,Auro,Auro
2666,Baya Central,Baya Central
2671,Darshan Ricco,Darshan Rico
2675,Indiabulls Sky,Indiabulls Sky Forest
2675,Indiabulls Sky,Indiabulls Sky Forest Prabhadevi A3
2681,Lodha Park,Lodha Parkside
2685,Lodha Trump,Lodha Trump Tower
2687,Lodha World Ciel Villa,Lodha World
2688,Lodha World Crest,Lodha World
2689,Lodha World One,Lodha World
2702,Mermit Tower,Mermit Tower
2715,Peninsula,Peninsula Tower
2716,Phoenix Tower,Phoenix Tower
2730,World Villa,The World Villa
2735,World Tower,World Towers
2749,Lodha Primero,Lodha Primero - Mahalaxmi
2753,Minerva,Minerva Tower
2756,Piramal Mahalaxmi,Piramal Mahalaxmi Central
2756,Piramal Mahalaxmi,Piramal Mahalaxmi North
2756,Piramal Mahalaxmi,Piramal Mahalaxmi South
2758,Prestige Jasdan,Prestige Jasdan Classic
2759,Prestige Turf,Prestige Turf
2760,Raheja Vivarea,Raheja Vivarea Tower E
2763,Thanks and Regards,Thanks & Regards
2771,Keer Tower,Keer Towers
2783,Nishat,Nishat
2784,Auris Serenity,Auris Serenity
2789,Blue Mountain,Blue Mountains
2804,Omkar Alta Monte,Omkar Alta Monte Tower A
2806,Raheja,Raheja Residency
2806,Raheja,Raheja Township
2819,Park Residence,The Park Residence
2855,Blu Horizon,Blue Horizon
2892,Metro Millenium,Metro Millennium
2902,Quantum Tower,Quantum Towers
2904,Raheja Exotica,Raheja Exotica Cyprus
2904,Raheja Exotica,Raheja Exotica Sorento
2905,Raheja Interface,Raheja Interface Heights
2906,Raj Infina,Raj Infinia
2942,Vikas Park,Vikas Park Tower
2957,Engineer,Engineer Building
